t_name,surface,draw_size,t_level,t_date,w_name,w_hand,w_ht,w_ioc,w_age,l_name,l_hand,l_ht,l_ioc,l_age,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,w_rank,w_rankpoints,l_rank,l_rankpoints,league,t_year,t_month,w_score,l_score,win,loss
Australian Open,Hard,128,G,2019-01-14,Novak Djokovic,R,188.0,SRB,31.6495550992,Rafael Nadal,L,185.0,ESP,32.6160164271,5,F,124.0,8.0,0.0,69.0,50.0,40.0,16.0,13.0,1.0,1.0,3.0,2.0,73.0,47.0,24.0,16.0,13.0,3.0,8.0,1.0,9135.0,2.0,7480.0,atp,2019,1,18,8,1,1
Australian Open,Hard,128,G,2019-01-14,Stefanos Tsitsipas,R,,GRE,20.424366872,Roger Federer,R,185.0,SUI,37.4346338125,5,R16,225.0,20.0,1.0,188.0,112.0,87.0,49.0,24.0,12.0,12.0,12.0,0.0,156.0,105.0,83.0,31.0,24.0,2.0,3.0,15.0,2095.0,3.0,6420.0,atp,2019,1,27,24,1,1
Australian Open,Hard,128,G,2019-01-14,Milos Raonic,R,196.0,CAN,28.0492813142,Alexander Zverev,R,198.0,GER,21.735797399000003,5,R16,119.0,15.0,1.0,78.0,54.0,43.0,13.0,13.0,0.0,1.0,6.0,10.0,90.0,56.0,38.0,12.0,13.0,14.0,20.0,17.0,1900.0,4.0,6385.0,atp,2019,1,19,8,1,1
Australian Open,Hard,128,G,2019-01-14,Frances Tiafoe,R,,USA,20.9828884326,Kevin Anderson,R,203.0,RSA,32.6598220397,5,R64,179.0,10.0,2.0,114.0,80.0,64.0,19.0,21.0,4.0,6.0,13.0,4.0,134.0,87.0,64.0,23.0,21.0,10.0,14.0,39.0,1080.0,6.0,4810.0,atp,2019,1,23,19,1,1
Australian Open,Hard,128,G,2019-01-14,Roberto Bautista Agut,R,183.0,ESP,30.7515400411,Marin Cilic,R,198.0,CRO,30.2943189596,5,R16,238.0,10.0,3.0,154.0,106.0,74.0,33.0,25.0,3.0,5.0,17.0,6.0,167.0,102.0,77.0,28.0,24.0,8.0,13.0,24.0,1605.0,7.0,4160.0,atp,2019,1,28,22,1,1
Australian Open,Hard,128,G,2019-01-14,Alexei Popyrin,R,,AUS,19.4442162902,Dominic Thiem,R,185.0,AUT,25.363449692,5,R64,104.0,13.0,3.0,87.0,53.0,40.0,22.0,12.0,5.0,5.0,1.0,2.0,82.0,63.0,41.0,8.0,12.0,7.0,10.0,149.0,360.0,8.0,4095.0,atp,2019,1,15,9,1,1
Australian Open,Hard,128,G,2019-01-14,Novak Djokovic,R,188.0,SRB,31.6495550992,Kei Nishikori,R,178.0,JPN,29.0431211499,5,QF,52.0,2.0,1.0,29.0,20.0,17.0,8.0,6.0,0.0,0.0,0.0,3.0,47.0,33.0,16.0,5.0,6.0,0.0,4.0,1.0,9135.0,9.0,3750.0,atp,2019,1,10,2,1,1
Australian Open,Hard,128,G,2019-01-14,Reilly Opelka,R,,USA,21.3798767967,John Isner,R,206.0,USA,33.7193702943,5,R128,178.0,40.0,6.0,151.0,87.0,74.0,42.0,24.0,1.0,2.0,47.0,2.0,138.0,107.0,93.0,19.0,24.0,2.0,3.0,97.0,593.0,10.0,3155.0,atp,2019,1,27,25,1,1
Australian Open,Hard,128,G,2019-01-14,Roberto Bautista Agut,R,183.0,ESP,30.7515400411,Karen Khachanov,R,,RUS,22.6502395619,5,R32,128.0,5.0,2.0,86.0,56.0,46.0,15.0,16.0,0.0,2.0,8.0,5.0,100.0,52.0,34.0,22.0,16.0,9.0,14.0,24.0,1605.0,11.0,2835.0,atp,2019,1,19,13,1,1
Australian Open,Hard,128,G,2019-01-14,Lucas Pouille,R,185.0,FRA,24.8898015058,Borna Coric,R,,CRO,22.1656399726,5,R16,195.0,19.0,2.0,135.0,88.0,73.0,26.0,23.0,4.0,6.0,24.0,5.0,155.0,120.0,90.0,12.0,23.0,8.0,12.0,31.0,1245.0,12.0,2435.0,atp,2019,1,26,22,1,1
