name,wins,losses,wlr,f_year,l_year,career_duration,dfs,aces,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,hand,birthdate,country,gender,total_matches,serve_games_won,serve_game_won%,break_points_saved%,breakpoints_permatch,ace_dominance
Famiano Meneschincheri,1,3,25.0,1979,1980,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1957-11-13,ITA,male,4,0.0,,,0.0,
Craig Gold,0,1,0.0,1971,1971,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,RSA,male,1,0.0,,,0.0,
Karsten Braasch,61,85,41.781,1989,2000,12,349.0,864.0,10910.0,6065.0,4494.0,2185.0,1607.0,599.0,988.0,L,1967-07-14,GER,male,146,1218.0,75.793,60.628,6.767,7.919
Frank Mcardle,0,2,0.0,1970,1973,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,IRL,male,2,0.0,,,0.0,
Kiyotaka Tachibana,0,2,0.0,1984,1985,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1960-02-02,JPN,male,2,0.0,,,0.0,
Francisco Arrellaga,0,2,0.0,1982,1982,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1961-11-11,PAR,male,2,0.0,,,0.0,
Jonathan Dasnieres De Veigy,1,5,16.667,2010,2012,3,14.0,22.0,504.0,343.0,219.0,64.0,75.0,33.0,61.0,L,1987-01-05,FRA,male,6,47.0,62.667,54.098,10.167,4.365
Ezio Di Matteo,21,36,36.842,1968,1976,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,ITA,male,57,0.0,,,0.0,
Ezio Di Matteo,21,36,36.842,1968,1976,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1948-11-02,ITA,male,57,0.0,,,0.0,
Antonio Capella,0,1,0.0,1981,1981,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,ESP,male,1,0.0,,,0.0,
Weerapat Doakmaiklee,1,6,14.286,2008,2012,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1987-06-13,THA,male,7,0.0,,,0.0,
Van Winitsky,85,106,44.503,1975,1985,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,1959-03-12,USA,male,191,0.0,,,0.0,
Barry Moir,36,56,39.13,1981,1989,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1963-06-01,RSA,male,92,0.0,,,0.0,
U Koeck,0,1,0.0,1972,1972,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,UNK,male,1,0.0,,,0.0,
Petr Korda,289,181,61.489,1985,1999,15,1938.0,1604.0,32502.0,19176.0,13672.0,6322.0,4861.0,1744.0,2868.0,L,1968-01-23,CZE,male,470,3737.0,76.877,60.809,6.102,4.935
Gregoire Burquier,0,1,0.0,2014,2014,1,2.0,6.0,65.0,49.0,27.0,5.0,9.0,9.0,14.0,L,1984-07-08,FRA,male,1,4.0,44.444,64.286,14.0,9.231
Maurice Claitte,0,1,0.0,1974,1974,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,FRA,male,1,0.0,,,0.0,
Arthur Rinderknech,0,1,0.0,2020,2020,1,2.0,12.0,149.0,97.0,66.0,24.0,20.0,10.0,14.0,U,1995-07-23,FRA,male,1,16.0,80.0,71.429,14.0,8.054
Oscar Napout,0,2,0.0,1982,1984,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1960-11-29,PAR,male,2,0.0,,,0.0,
Alcides Procopio Jr,0,1,0.0,1971,1971,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,BRA,male,1,0.0,,,0.0,
Colin Beecher,1,3,25.0,1995,1996,2,13.0,14.0,289.0,175.0,128.0,43.0,48.0,5.0,20.0,R,1970-10-16,GBR,male,4,33.0,68.75,25.0,5.0,4.844
Eduardo Mandarino,4,10,28.571,1968,1989,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,ESP,male,14,0.0,,,0.0,
Dick R Bohrnstedt,19,44,30.159,1968,1979,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1950-04-28,USA,male,63,0.0,,,0.0,
Jabor Al Mutawa,0,4,0.0,2012,2018,7,14.0,1.0,156.0,96.0,41.0,12.0,27.0,12.0,34.0,U,1994-05-21,QAT,male,4,5.0,18.519,35.294,8.5,0.641
Timothy Noonan,4,8,33.333,1972,1977,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1952-10-31,USA,male,12,0.0,,,0.0,
Mikal Oliver Statham,1,1,50.0,2009,2009,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1987-04-25,NZL,male,2,0.0,,,0.0,
Rand Evett,4,13,23.529,1974,1984,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1954-03-01,USA,male,17,0.0,,,0.0,
Mate Delic,3,12,20.0,2011,2015,5,12.0,40.0,660.0,421.0,284.0,113.0,104.0,38.0,68.0,R,1993-09-29,CRO,male,15,74.0,71.154,55.882,4.533,6.061
Jiri Novak,301,233,56.367,1993,2006,14,1119.0,2027.0,39601.0,25750.0,17597.0,6936.0,6143.0,2192.0,3646.0,R,1975-03-22,CZE,male,534,4689.0,76.331,60.121,6.828,5.119
David Wheaton,204,156,56.667,1986,2000,15,1257.0,2125.0,23977.0,14401.0,10564.0,4596.0,3566.0,1274.0,2012.0,R,1969-06-02,USA,male,360,2828.0,79.305,63.32,5.589,8.863
Dejan Petrovic,2,6,25.0,2000,2001,2,27.0,45.0,576.0,295.0,200.0,122.0,93.0,26.0,61.0,R,1978-04-03,SRB,male,8,58.0,62.366,42.623,7.625,7.812
Aleksandar Kitinov,0,2,0.0,1995,1998,4,7.0,6.0,107.0,60.0,37.0,15.0,16.0,7.0,16.0,R,1971-01-13,MKD,male,2,7.0,43.75,43.75,8.0,5.607
Marcos Perez Hubert,0,1,0.0,1992,1992,1,2.0,5.0,102.0,63.0,40.0,24.0,16.0,7.0,11.0,R,1968-11-22,ESP,male,1,12.0,75.0,63.636,11.0,4.902
Didac Perez,1,6,14.286,2002,2006,5,29.0,13.0,529.0,332.0,210.0,86.0,85.0,27.0,62.0,R,1981-09-07,ESP,male,7,50.0,58.824,43.548,8.857,2.457
Peter Campbell,4,21,16.0,1968,1990,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1950-11-10,AUS,male,25,0.0,,,0.0,
Charles Bud Cox,5,17,22.727,1980,1988,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1960-04-11,USA,male,22,0.0,,,0.0,
Jaime Bartoli,0,1,0.0,1968,1968,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,UNK,male,1,0.0,,,0.0,
Christophe Van Garsse,20,15,57.143,1994,1999,6,121.0,99.0,2249.0,1372.0,968.0,412.0,324.0,111.0,185.0,R,1974-06-21,BEL,male,35,250.0,77.16,60.0,5.286,4.402
Pedro Loewe,0,2,0.0,1968,1970,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,ESP,male,2,0.0,,,0.0,
Kenneth Tsui,1,1,50.0,1972,1972,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1949-04-16,HKG,male,2,0.0,,,0.0,
Maxim Bulat,0,2,0.0,2015,2015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1997-03-18,MDA,male,2,0.0,,,0.0,
Larry Dodge,0,1,0.0,1971,1971,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,USA,male,1,0.0,,,0.0,
Ladislav Svarc,0,4,0.0,2000,2003,4,6.0,10.0,208.0,124.0,85.0,39.0,32.0,24.0,33.0,R,1978-11-13,SVK,male,4,23.0,71.875,72.727,8.25,4.808
John Clifton,8,24,25.0,1968,1974,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1946-02-19,GBR,male,32,0.0,,,0.0,
Kento Takeuchi,0,1,0.0,2014,2014,1,2.0,0.0,43.0,18.0,7.0,8.0,7.0,2.0,8.0,L,1987-12-19,JPN,male,1,1.0,14.286,25.0,8.0,0.0
Lency Tenai,0,3,0.0,1998,1998,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1968-01-09,SOL,male,3,0.0,,,0.0,
Jorge Villanueva,0,1,0.0,2006,2006,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1987-04-15,BOL,male,1,0.0,,,0.0,
Ramon Delgado,105,108,49.296,1994,2010,17,478.0,1055.0,13030.0,7781.0,5322.0,2547.0,1987.0,696.0,1225.0,R,1976-11-14,PAR,male,213,1458.0,73.377,56.816,5.751,8.097
John Burrman,0,1,0.0,1971,1971,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,USA,male,1,0.0,,,0.0,
Brian Tobin,0,1,0.0,1974,1974,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1930-12-05,AUS,male,1,0.0,,,0.0,
Sammy Giammalva,0,2,0.0,1968,1971,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1934-08-01,USA,male,2,0.0,,,0.0,
Ivaylo Traykov,5,6,45.455,1998,2007,10,5.0,6.0,188.0,110.0,74.0,45.0,27.0,7.0,14.0,R,1978-12-17,BUL,male,11,20.0,74.074,50.0,1.273,3.191
Jiri Hrebec,152,148,50.667,1970,1981,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1950-09-19,CZE,male,300,0.0,,,0.0,
Jan Coebergh,0,3,0.0,1968,1971,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,UNK,male,3,0.0,,,0.0,
Jorge Tejada,0,1,0.0,2000,2000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1968-04-21,GUA,male,1,0.0,,,0.0,
Stephen Thompson,0,1,0.0,1972,1972,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,AUS,male,1,0.0,,,0.0,
Martin Stiegwardt,1,0,100.0,2002,2002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1984-02-26,ECU,male,1,0.0,,,0.0,
D Gueddes,0,1,0.0,1976,1976,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,GER,male,1,0.0,,,0.0,
Yaoki Ishii,0,5,0.0,2000,2001,2,16.0,4.0,228.0,134.0,83.0,45.0,35.0,16.0,29.0,R,1977-04-29,JPN,male,5,22.0,62.857,55.172,5.8,1.754
M S Palmer,0,1,0.0,1970,1970,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,GBR,male,1,0.0,,,0.0,
Omar Hedayet,2,0,100.0,2004,2009,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1985-09-21,EGY,male,2,0.0,,,0.0,
Lauri Kiiski,0,1,0.0,2006,2006,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1980-10-10,FIN,male,1,0.0,,,0.0,
Rory Chappell,8,13,38.095,1976,1983,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1959-01-13,RSA,male,21,0.0,,,0.0,
Eduardo Masso,38,55,40.86,1986,1992,7,90.0,35.0,3238.0,2282.0,1296.0,461.0,478.0,200.0,388.0,L,1964-01-11,BEL,male,93,290.0,60.669,51.546,4.172,1.081
Nicola Kuhn,3,5,37.5,2017,2021,5,17.0,16.0,607.0,388.0,246.0,111.0,93.0,21.0,51.0,R,2000-03-20,ESP,male,8,63.0,67.742,41.176,6.375,2.636
Eduardo Furusho,1,2,33.333,1988,1991,4,5.0,0.0,61.0,35.0,19.0,10.0,8.0,6.0,11.0,L,1968-07-06,JPN,male,3,3.0,37.5,54.545,3.667,0.0
Henrik Drzymalski,3,5,37.5,1974,1982,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1947-06-12,POL,male,8,0.0,,,0.0,
Noureddine Mahmoudi,0,1,0.0,1993,1993,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1973-06-27,ALG,male,1,0.0,,,0.0,
Magnus Larsson,249,193,56.335,1988,2003,16,994.0,2504.0,32409.0,20519.0,14931.0,6037.0,4997.0,1544.0,2484.0,R,1970-03-25,SWE,male,442,4057.0,81.189,62.158,5.62,7.726
Konstantinos Economidis,20,19,51.282,1997,2011,15,51.0,56.0,1034.0,637.0,435.0,197.0,169.0,49.0,96.0,R,1977-11-02,GRE,male,39,122.0,72.189,51.042,2.462,5.416
Tyler Mayers,0,1,0.0,2002,2002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1982-10-13,TRI,male,1,0.0,,,0.0,
Shao Xuan Zeng,5,9,35.714,2003,2009,7,21.0,15.0,455.0,270.0,161.0,75.0,67.0,32.0,63.0,R,1981-08-29,CHN,male,14,36.0,53.731,50.794,4.5,3.297
Daniel Chavez Morales,4,6,40.0,1990,2000,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1966-01-27,GUA,male,10,0.0,,,0.0,
Tristan Schoolkate,0,1,0.0,2021,2021,1,8.0,2.0,67.0,39.0,26.0,13.0,11.0,2.0,6.0,R,2001-02-26,AUS,male,1,7.0,63.636,33.333,6.0,2.985
Mikael Stig,0,1,0.0,1971,1971,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,,UNK,male,1,0.0,,,0.0,
Glenn Busby,0,2,0.0,1975,1981,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,AUS,male,2,0.0,,,0.0,
Lucas Miedler,0,3,0.0,2015,2019,5,1.0,13.0,231.0,153.0,98.0,42.0,35.0,13.0,22.0,R,1996-06-21,AUT,male,3,26.0,74.286,59.091,7.333,5.628
Igor Flego,1,3,25.0,1986,1988,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1961-12-13,CRO,male,4,0.0,,,0.0,
Mikhail Biryukov,0,2,0.0,2009,2013,5,2.0,0.0,100.0,60.0,29.0,15.0,16.0,8.0,18.0,R,1992-04-28,RUS,male,2,6.0,37.5,44.444,9.0,0.0
Guillermo Perez Roldan,241,134,64.267,1986,1996,11,150.0,160.0,8544.0,5827.0,3695.0,1363.0,1279.0,508.0,870.0,R,1969-10-20,ARG,male,375,917.0,71.697,58.391,2.32,1.873
John De Mendoza,4,8,33.333,1970,1972,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1949-08-22,GBR,male,12,0.0,,,0.0,
Henrik Sundstrom,149,97,60.569,1981,1989,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1964-02-29,SWE,male,246,0.0,,,0.0,
Lawrence Awopegba,1,2,33.333,1974,1978,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,,NIG,male,3,0.0,,,0.0,
