player,t_year,loss,win,wlr,rank
A D'Orsongna,1968,1,0,0.0,
A Difrancesco,1980,1,0,0.0,
A El Ghani,1977,1,0,0.0,
A Ferguson,1974,1,1,0.5,
A Fine,1970,1,0,0.0,
A G Barker,1970,1,1,0.5,
A Galbraith,1980,1,1,0.5,
A H Davies,1970,1,0,0.0,
A Hernandez,1978,1,0,0.0,
A Hill,1971,1,0,0.0,
A J Gould,1970,1,1,0.5,
A Jackson,1974,1,1,0.5,
A Jammond,1969,1,0,0.0,
A Jordan,1970,1,0,0.0,
A Luttrell,1980,1,0,0.0,
A M Thomas,1970,1,0,0.0,
A Macdonald,1973,1,1,0.5,
A Mcgrath,1971,1,0,0.0,
A Moscoso,1980,1,0,0.0,
A Sapire,1969,1,0,0.0,
A Saul,1969,1,0,0.0,
A Saul,1971,1,0,0.0,
A Simcox,1980,1,0,0.0,
A Simmons,1976,1,0,0.0,
A Trenkle,1978,1,0,0.0,
A Uehara,1973,1,0,0.0,
A Webb,1970,1,0,0.0,
A Whittaker,1975,1,0,0.0,
AJ Mitha,1972,1,1,0.5,
Aaron Krickstein,1983,4,8,0.6666666666666666,
Aaron Krickstein,1984,13,33,0.717391304347826,16.0
Aaron Krickstein,1984,13,33,0.717391304347826,94.0
Aaron Krickstein,1984,13,33,0.717391304347826,25.0
Aaron Krickstein,1984,13,33,0.717391304347826,13.0
Aaron Krickstein,1984,13,33,0.717391304347826,12.0
Aaron Krickstein,1985,20,23,0.5348837209302325,12.0
Aaron Krickstein,1985,20,23,0.5348837209302325,22.0
Aaron Krickstein,1985,20,23,0.5348837209302325,35.0
Aaron Krickstein,1985,20,23,0.5348837209302325,10.0
Aaron Krickstein,1985,20,23,0.5348837209302325,7.0
Aaron Krickstein,1985,20,23,0.5348837209302325,14.0
Aaron Krickstein,1986,18,36,0.6666666666666666,36.0
Aaron Krickstein,1986,18,36,0.6666666666666666,25.0
Aaron Krickstein,1986,18,36,0.6666666666666666,31.0
Aaron Krickstein,1986,18,36,0.6666666666666666,24.0
Aaron Krickstein,1986,18,36,0.6666666666666666,32.0
Aaron Krickstein,1986,18,36,0.6666666666666666,40.0
Aaron Krickstein,1986,18,36,0.6666666666666666,27.0
Aaron Krickstein,1986,18,36,0.6666666666666666,38.0
Aaron Krickstein,1986,18,36,0.6666666666666666,39.0
Aaron Krickstein,1986,18,36,0.6666666666666666,33.0
Aaron Krickstein,1986,18,36,0.6666666666666666,30.0
Aaron Krickstein,1987,13,15,0.5357142857142857,29.0
Aaron Krickstein,1987,13,15,0.5357142857142857,27.0
