name,f_year,l_year,tournament_duration,total_matches,minutes,surface,best_of,t_month,most_wins,df,ace,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced
ATP Next Gen Finals,2018,2018,1,16,89.125,Hard,3,11,Stefanos Tsitsipas,52.0,176.5,1698.0,1101.5,849.0,296.0,270.0,98.0,138.0
Acapulco,2001,2020,20,620,99.05,Hard,3,2,David Ferrer,2442.5,4866.5,64777.5,39432.5,28441.5,13070.5,10212.5,3283.0,5331.5
Adelaide,1972,2020,49,1119,90.342,Hard,3,1,Lleyton Hewitt,2506.0,4677.0,62614.5,36849.0,26667.0,13628.0,9836.5,3131.5,4972.5
Adelaide-2,1982,1982,1,31,0.0,Grass,3,1,Rod Frawley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aix en Provence,1977,1984,8,124,0.0,Clay,3,4,Guillermo Vilas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algiers,1975,1975,1,31,0.0,Clay,3,2,Birger Andersson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amersfoort,2002,2008,7,213,93.259,Clay,3,7,Nicolas Massu,737.5,1375.0,21901.0,13383.5,9440.5,4390.0,3386.5,1176.0,1886.0
Amsterdam,1995,2001,7,217,93.46,Clay,3,7,Younes El Aynaoui,782.5,1310.5,23774.5,14475.5,10090.0,4746.5,3687.5,1220.0,2055.0
Antalya,2017,2021,5,112,96.464,Grass,3,6,Adrian Mannarino,468.0,1128.5,12225.5,7659.5,5738.5,2379.0,1927.0,565.0,862.5
Antwerp,1997,2020,24,197,97.649,Hard,3,10,Diego Schwartzman,855.0,1883.0,21387.5,12427.5,9276.0,4671.5,3387.0,1012.5,1620.5
Aptos,1973,1973,1,31,0.0,Hard,3,9,Jeff Austin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Athens,1986,1994,9,279,97.82,Clay,3,10,Jordi Arrese,324.5,416.5,12785.5,8336.0,5598.0,2234.0,1989.5,698.0,1197.5
Athens Olympics,2004,2004,1,64,0.0,Hard,3,8,Nicolas Massu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlanta,1970,2019,50,718,94.503,Hard,3,7,John Isner,2564.0,5263.0,61737.0,36753.0,26568.5,12992.5,9697.5,3146.5,5073.0
Atlanta Olympics,1996,1996,1,64,0.0,Hard,3,7,Andre Agassi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlanta WCT,1973,1974,2,62,0.0,Clay,3,3,Dick Stockton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atp Cup,2020,2021,2,116,104.293,Hard,3,1,Novak Djokovic,448.0,1073.5,12117.5,7692.5,5652.5,2227.0,1906.0,616.0,974.0
Auckland,1969,2020,52,1492,91.199,Hard,3,1,David Ferrer,3485.5,6926.0,93612.0,56835.5,40857.0,19275.5,14633.0,4705.5,7481.0
Australian Chps.,1968,1968,1,61,0.0,Grass,5,1,Bill Bowrey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Open,1969,2021,53,5542,144.473,Hard,5,1,Roger Federer,22985.0,51100.5,653411.0,402579.5,292143.5,126700.5,100868.0,31723.0,51572.0
Australian Open-2,1977,1977,1,63,0.0,Grass,5,12,Vitas Gerulaitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aviles,1975,1976,2,62,0.0,Clay,3,10,Nikola Pilic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahia,1983,1983,1,31,0.0,Hard,3,11,Pedro Rebolledo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baltimore,1972,1973,2,22,0.0,Hard,3,1,Jimmy Connors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangalore,1976,1976,1,31,0.0,Clay,3,11,Kim Warwick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangkok,2003,2013,11,317,94.082,Hard,3,9,Jarkko Nieminen,996.5,3285.5,34180.0,21586.5,15864.5,6583.5,5416.0,1607.5,2533.5
Barcelona,1968,2019,52,2987,97.656,Clay,3,4,Rafael Nadal,4613.0,7860.0,163226.0,102422.0,69832.0,31191.0,25169.0,9102.5,14992.5
Barcelona Olympics,1992,1992,1,63,0.0,Clay,5,7,Marc Rosset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barcelona WCT,1971,1976,6,67,0.0,Clay,3,2,Manuel Orantes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bari,1984,1989,6,186,0.0,Clay,3,4,Lawson Duncan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barranquilla,1969,1969,1,6,0.0,Clay,3,3,Ilie Nastase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basel,1978,2019,42,1023,93.857,Hard,3,10,Roger Federer,2643.0,6569.0,66041.5,38641.5,29287.0,14574.5,10579.5,2876.5,4581.5
Bastad,1969,2019,51,1557,94.696,Clay,3,7,Tommy Robredo,3299.5,4029.0,88822.0,54718.5,37016.5,17100.5,13656.5,5154.0,8577.0
Beijing,1997,2019,23,523,94.714,Hard,3,9,Novak Djokovic,2093.5,4356.0,53887.5,32520.0,23608.5,11056.5,8492.0,2721.0,4373.0
Beijing Olympics,2008,2008,1,64,102.317,Hard,3,8,Rafael Nadal,255.5,486.5,6651.0,3881.0,2853.0,1465.5,1065.0,308.0,502.0
Belgrade,2009,2012,4,108,100.701,Clay,3,5,Novak Djokovic,442.0,623.0,11425.5,6944.5,4808.5,2275.5,1752.5,636.5,1046.0
Berkeley,1970,1971,2,126,0.0,Hard,3,9,Arthur Ashe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Berlin,1971,1979,9,179,0.0,Clay,3,6,Hans Jurgen Pohmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,1975,1996,22,109,96.583,Clay,3,4,Javier Frana,181.0,320.5,6739.0,4389.5,2956.5,1183.5,1029.0,387.5,631.0
Birmingham,1973,1994,22,109,99.806,Clay,3,4,Jimmy Connors,140.5,164.5,3321.5,1983.5,1376.0,680.5,510.0,177.5,288.5
Boca Raton,1975,1976,2,62,0.0,Hard,3,2,Jimmy Connors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boca West,1984,1986,3,158,0.0,Hard,3,2,Jimmy Connors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bogota,1977,2015,39,422,88.477,Clay,3,9,Victor Pecci,1738.0,2482.5,32098.0,18712.0,13686.5,6786.5,5026.0,1603.5,2635.0
Bologna,1985,1998,14,434,98.437,Clay,3,5,Javier Sanchez,838.5,1089.5,26254.5,16062.5,10777.0,5153.5,4050.0,1491.5,2538.0
Bombay,1974,1979,6,93,0.0,Clay,3,11,Vijay Amritraj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bordeaux,1979,1995,17,527,91.916,Clay,3,9,Ronald Agenor,520.0,792.0,16116.5,9470.0,6570.0,3450.0,2480.5,856.5,1420.0
Boston,1969,1999,31,1193,90.826,Clay,3,7,Guillermo Vilas,469.0,679.5,9910.0,5501.0,4017.5,2283.5,1538.5,518.5,820.5
Boston WCT,1971,1972,2,62,0.0,Hard,3,8,Cliff Drysdale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bournemouth,1968,1999,32,639,84.633,Clay,3,4,Manuel Orantes,448.5,633.5,12473.0,7383.0,5100.5,2627.5,1930.5,664.0,1119.0
Bretton Woods,1972,1974,3,77,0.0,Clay,3,8,Vijay Amritraj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brighton,2000,2000,1,31,83.345,Hard,3,11,Tim Henman,145.0,264.0,2955.5,1615.0,1206.5,685.0,467.0,150.0,249.0
Brisbane,1972,2018,47,725,97.61,Hard,3,12,Mark Edmondson,1351.5,3921.0,40370.5,24432.0,18140.0,8415.0,6379.0,1916.5,2981.5
Bristol,1969,1989,21,454,0.0,Grass,3,6,Johan Kriek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brussels,1969,1982,14,325,0.0,Clay,3,6,Balazs Taroczy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bucharest,1993,2016,24,716,96.449,Clay,3,9,Gilles Simon,2214.0,3194.0,74449.5,46348.5,31411.5,14368.0,11489.5,4282.0,7082.5
Budapest,2017,2019,3,81,100.407,Clay,3,4,Aljaz Bedene,236.0,466.0,8788.5,5629.0,3900.0,1635.0,1393.0,464.5,767.0
Buenos Aires,1968,2020,53,1300,101.95,Clay,3,2,Guillermo Vilas,2255.5,3174.5,74536.0,47269.5,32463.5,13984.5,11528.5,4037.5,6637.0
Buzios,1991,1992,2,62,92.306,Hard,3,11,Jaime Oncins,210.5,249.5,6481.0,4144.5,2840.5,1187.0,994.0,379.0,604.0
Cairo,1975,1982,8,185,0.0,Clay,3,3,Francois Jauffret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calcutta,1975,1978,4,62,0.0,Clay,3,12,Vijay Amritraj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridge,1970,1970,1,5,0.0,Clay,3,3,Cliff Richey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada Masters,1990,2019,30,1698,95.908,Hard,3,8,Rafael Nadal,7452.5,14991.5,177715.0,104783.5,77126.0,38178.0,27882.0,8816.0,13854.5
